Billing Account-Id,Booking Account-Id,Date,Payments,Payment mode,Payment Txn Id,International,Remarks,InvoiceId,Taxable value,Tax amount,Invoice amount
,3189220,03 Sep 2024,"3,276.00",ONLINE,pay_OsmoRTZSBU46sx,false,,7285,"2,925.00",351.00,"3,276.00"
,3189966,04 Sep 2024,"8,734.34",ONLINE,pay_OspSc8eP5KPOxf,false,,7377,"8,349.75",963.42,"9,313.18"
,3187104,04 Sep 2024,"3,890.00",ONLINE,pay_OsyUN80iHdxtsn,false,,7281,"3,472.77",416.74,"3,889.52"
,3194836,05 Sep 2024,"19,656.00",ONLINE,pay_OtYTxd7ROQ42CO,false,,7412,"19,062.00","2,181.62","21,243.63"
,3202090,09 Sep 2024,"6,216.00",ONLINE,pay_OuxFTI8LfgERih,false,,7355,"5,550.00",666.00,"6,216.00"
,3202722,09 Sep 2024,"9,910.32",ONLINE,pay_Ov2CBQg6q2Tyhb,false,,7423,0.00,0.00,0.00
,3204598,09 Sep 2024,"21,414.99",ONLINE,pay_OvAE6cyVEmJPIR,false,,,-,-,-
,3206737,10 Sep 2024,"17,472.00",ONLINE,pay_OvUHzmsRbfZAVA,false,,7489,"15,600.00","1,872.00","17,472.00"
,3207508,10 Sep 2024,"3,108.00",ONLINE,pay_OvYWjzOk31n87l,false,,7359,"3,189.75",353.74,"3,543.49"
,3208387,11 Sep 2024,"15,705.48",ONLINE,pay_OvlyCcFGAlTJlZ,false,,7393,"19,090.59","2,217.46","21,308.03"
,3209157,11 Sep 2024,"3,192.00",ONLINE,pay_OvpobixEIDgexH,false,,7503,"3,291.00",364.06,"3,655.07"
,3210736,12 Sep 2024,"3,947.17",ONLINE,pay_Ow57M7RAXZuwn3,false,,7362,"3,524.25",422.92,"3,947.17"
,3210748,12 Sep 2024,"5,375.16",ONLINE,pay_Ow6Zna3iwVM5BX,false,,7365,"5,308.50",601.42,"5,909.92"
,3167936,12 Sep 2024,"-3,442.33",ONLINE,rfnd_OwCPWESd2TUuTs,false,,7528,0.00,0.00,0.00
,3210748,13 Sep 2024,535.00,ONLINE,pay_OwWSqcglkd2XOx,false,,7365,"5,308.50",601.42,"5,909.92"
,3214937,13 Sep 2024,"3,448.05",ONLINE,pay_OwefsdEkK7JBCf,false,,7490,"3,078.60",369.44,"3,448.05"
,3215767,13 Sep 2024,"5,510.40",ONLINE,pay_OwhV0KWIPY9d8C,false,,7380,"4,920.00",590.40,"5,510.40"
,3218476,14 Sep 2024,"14,952.00",ONLINE,pay_Ox2LqmDoO0ufw0,false,,,-,-,-
,3217660,14 Sep 2024,"6,046.33",ONLINE,pay_Ox2QzRSTLNACik,false,,7376,"5,398.50",647.82,"6,046.33"
,3222801,16 Sep 2024,"6,000.00",ONLINE,pay_Oxnit5MEvfWPZj,false,,,-,-,-
,3226979,18 Sep 2024,"11,760.00",ONLINE,pay_OydBflriOPIOrb,false,,7416,"3,500.00",420.00,"3,920.00"
,3223138,19 Sep 2024,"12,600.00",ONLINE,pay_Oyvu8TsVtH6XFU,false,,,-,-,-
,3228446,19 Sep 2024,"15,680.00",ONLINE,pay_Oz1RPCee47iJlL,false,,7448,"14,000.00","1,680.00","15,680.00"
,3232476,19 Sep 2024,"27,658.24",ONLINE,pay_Oz1pq8uUPsLzlD,false,,,-,-,-
,3232956,19 Sep 2024,"8,591.82",ONLINE,pay_Oz6lFnAXuBACdy,false,,7437,"7,671.25",920.56,"8,591.82"
,3234078,20 Sep 2024,"3,610.33",ONLINE,pay_OzLFLaKtKINDvq,false,,7453,"3,223.50",386.82,"3,610.33"
,3233412,20 Sep 2024,"4,435.21",ONLINE,pay_OzM5kd3wiN0yqL,false,,7508,"4,952.25",524.84,"5,477.11"
,3236386,21 Sep 2024,"31,295.62",ONLINE,pay_OzdoKuVWNENkjm,false,,,-,-,-
,3237857,21 Sep 2024,"22,428.00",ONLINE,pay_OznXgGVKlkgGMz,false,,,-,-,-
,3238743,22 Sep 2024,"41,819.66",ONLINE,pay_OzxsIcKJcpEd9w,false,,,-,-,-
,3239053,22 Sep 2024,"7,894.34",ONLINE,pay_P0DTSHfAir8dkG,false,,7477,"7,748.50",929.84,"8,678.34"
,3202722,23 Sep 2024,"-9,910.32",ONLINE,rfnd_P0WI5kHqNM4PO7,false,,7423,0.00,0.00,0.00
,3244153,24 Sep 2024,"6,914.56",ONLINE,pay_P10CupbFmIYRCf,false,,,-,-,-
,3247599,25 Sep 2024,"4,031.01",ONLINE,pay_P1IadsU3whzH1x,false,,7499,"3,599.10",431.90,"4,031.01"
,3247459,25 Sep 2024,"3,696.00",ONLINE,pay_P1IrXRDPAyendq,false,,7485,"3,300.00",396.00,"3,696.00"
,3246150,25 Sep 2024,"4,031.01",ONLINE,pay_P1J6HZuSn9BPY2,false,,7500,"3,599.11",431.90,"4,031.02"
